id,symbol,side,entry_rsi,volume_ratio,entry_time,exit_time,exit_reason,pnl_pct,pnl_amount,source,created_at,entry_price,exit_price,quantity,hold_minutes,entry_hour,day_of_week
174,INFY,LONG,20.86055347681919,2.659496281120877,2026-06-08T09:15:00+05:30,2026-06-08T10:30:00+05:30,RSI mid-line exit,1.5693926026467595,222.0,backtest,2026-06-18 15:16:32,,,,,,
136,TCS,LONG,27.513884446652412,1.331995842425299,2026-06-05T12:30:00+05:30,2026-06-05T15:15:00+05:30,EOD square-off,-0.5659950192438307,-75.0,backtest,2026-06-18 15:16:29,,,,,,
103,SBIN,SHORT,71.35854664369245,2.8384710617966062,2026-06-05T09:15:00+05:30,2026-06-05T10:30:00+05:30,RSI mid-line exit,1.0289421663541072,152.25000000000136,backtest,2026-06-18 15:16:27,,,,,,
102,SBIN,SHORT,73.25198800600278,1.1587186046944402,2026-06-04T09:15:00+05:30,2026-06-04T15:15:00+05:30,EOD square-off,-0.9223951355251,-134.25000000000068,backtest,2026-06-18 15:16:27,,,,,,
173,INFY,LONG,29.168919550106764,2.279323251490631,2026-06-04T09:15:00+05:30,2026-06-04T15:15:00+05:30,EOD square-off,-0.28975908601705436,-42.0,backtest,2026-06-18 15:16:32,,,,,,
101,SBIN,SHORT,75.7291938156385,1.7354505958088118,2026-06-03T15:00:00+05:30,2026-06-03T15:15:00+05:30,EOD square-off,-0.051493305870236865,-7.5,backtest,2026-06-18 15:16:27,,,,,,
135,TCS,LONG,20.061801264113043,1.25755129494921,2026-06-03T11:00:00+05:30,2026-06-03T15:15:00+05:30,EOD square-off,-0.04452359750667854,-6.0,backtest,2026-06-18 15:16:29,,,,,,
134,TCS,LONG,24.549229007496436,5.877778604844345,2026-06-03T09:15:00+05:30,2026-06-03T10:30:00+05:30,stop loss (-2.06%),-2.0607375271149677,-285.0,backtest,2026-06-18 15:16:29,,,,,,
133,TCS,SHORT,79.3542222309806,2.0651702565142425,2026-06-02T10:15:00+05:30,2026-06-02T15:15:00+05:30,EOD square-off,-1.4780160635919442,-214.1999999999989,backtest,2026-06-18 15:16:29,,,,,,
172,INFY,SHORT,83.54434658856276,1.5685078872736575,2026-06-02T10:30:00+05:30,2026-06-02T15:15:00+05:30,EOD square-off,0.39215686274509803,55.0,backtest,2026-06-18 15:16:32,,,,,,
